anio,provincia_id,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,estudiantes_grupo_pct
2011,10,Naturales,1055.0,545.0,510.0,177.0,105.0,72.0,47.0,24.0,23.0,0.4834123222748815,0.09283702921506512
2011,10,Policial,678.0,277.0,401.0,678.0,277.0,401.0,0.0,0.0,0.0,0.5914454277286135,0.05966209081309398
2011,10,Psicologia,392.0,71.0,321.0,85.0,20.0,65.0,29.0,3.0,26.0,0.8188775510204082,0.034494896163322776
2011,10,Salud,1496.0,467.0,1029.0,611.0,241.0,370.0,8.0,2.0,6.0,0.6878342245989305,0.13164378739880322
2011,10,Sociales,409.0,159.0,250.0,69.0,27.0,42.0,27.0,12.0,15.0,0.6112469437652812,0.03599084829285463
2011,10,Tecnologia,1493.0,1111.0,382.0,369.0,293.0,76.0,24.0,14.0,10.0,0.25586068318821165,0.13137979584653292
2011,14,Arquitectura,145.0,107.0,38.0,31.0,22.0,9.0,9.0,7.0,2.0,0.2620689655172414,0.004101374667647225
2011,14,Arte,521.0,166.0,355.0,133.0,42.0,91.0,50.0,18.0,32.0,0.6813819577735125,0.014736663460994512
2011,14,Derecho,17083.0,8435.0,8648.0,10051.0,5022.0,5029.0,613.0,312.0,301.0,0.5062342679857168,0.4831985065339141
2011,14,Economicas,13460.0,6710.0,6750.0,7378.0,3721.0,3657.0,414.0,165.0,249.0,0.5014858841010401,0.3807207105278045
2011,14,Idiomas,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8285342535498105e-05
2011,14,Naturales,38.0,20.0,18.0,0.0,0.0,0.0,5.0,1.0,4.0,0.47368421052631576,0.001074843016348928
2011,14,Psicologia,727.0,193.0,534.0,263.0,74.0,189.0,32.0,11.0,21.0,0.734525447042641,0.020563444023307124
