anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct
2016,Naturales,Produccion e Ingenieria Pesquera,302.0,184.0,118.0,73.0,50.0,23.0,41.0,8.0,33.0,0.39072847682119205,0.3150684931506849
2016,Naturales,Quimica,20.0,11.0,9.0,0.0,0.0,0.0,3.0,2.0,1.0,0.45,
2016,Naturales,Redes y Telecomunicaciones,116.0,56.0,60.0,32.0,18.0,14.0,6.0,1.0,5.0,0.5172413793103449,0.4375
2016,Naturales,Relaciones Internacionales,188.0,159.0,29.0,0.0,0.0,0.0,96.0,73.0,23.0,0.15425531914893617,
2016,Naturales,Sanidad y Saneamiento Ambiental,1268.0,459.0,809.0,327.0,134.0,193.0,90.0,31.0,59.0,0.63801261829653,0.5902140672782875
2016,Naturales,Sociologia,35.0,17.0,18.0,8.0,4.0,4.0,3.0,1.0,2.0,0.5142857142857142,0.5
2016,Naturales,Tecnologia e Ingenieria Minera,917.0,598.0,319.0,160.0,95.0,65.0,16.0,14.0,2.0,0.3478735005452563,0.40625
2016,Naturales,Tecnologia e Ingenieria en Alimentos,9422.0,3043.0,6379.0,2249.0,677.0,1572.0,595.0,181.0,414.0,0.6770324771810656,0.6989773232547799
2016,Naturales,Tecnologia y Ciencias Aplicadas,19.0,12.0,7.0,7.0,3.0,4.0,0.0,0.0,0.0,0.3684210526315789,0.5714285714285714
2016,Naturales,Topografia y Cartografia,85.0,47.0,38.0,47.0,26.0,21.0,7.0,6.0,1.0,0.4470588235294118,0.44680851063829785
2016,Naturales,Trabajo Social,290.0,18.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379310344827586,
2016,Naturales,Veterinaria,7786.0,1951.0,5835.0,1739.0,413.0,1326.0,324.0,105.0,219.0,0.7494220395581813,0.7625071880391029
2016,Otros,Bibliotecologia y Documentacion,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,,
2016,Otros,Carrera No Definida,9449.0,3706.0,5743.0,5495.0,2217.0,3278.0,0.0,0.0,0.0,0.6077891840406392,0.5965423111919927
2016,Otros,Tecnologia y Ciencias Aplicadas,37.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,
2016,Psicologia,Ciencia Politica,657.0,67.0,590.0,0.0,0.0,0.0,57.0,4.0,53.0,0.898021308980213,
2016,Psicologia,Ciencias de la Educacion,83.0,3.0,80.0,83.0,3.0,80.0,0.0,0.0,0.0,0.963855421686747,0.963855421686747
2016,Psicologia,Educacion Especial,1318.0,88.0,1230.0,345.0,30.0,315.0,51.0,2.0,49.0,0.9332321699544764,0.9130434782608695
2016,Psicologia,Formacion Docente para el nivel medio y/o superior universitario y no universitario,8453.0,1455.0,6998.0,2335.0,425.0,1910.0,574.0,71.0,503.0,0.8278717615047912,0.8179871520342612
2016,Psicologia,Medicina,336.0,105.0,231.0,16.0,8.0,8.0,70.0,29.0,41.0,0.6875,0.5
2016,Psicologia,Psicologia,97254.0,21904.0,75350.0,20722.0,5321.0,15401.0,5386.0,937.0,4449.0,0.7747753305776626,0.7432197664318116
2016,Psicologia,Psicopedagogia,13669.0,830.0,12839.0,3440.0,255.0,3185.0,1352.0,28.0,1324.0,0.9392786597410199,0.9258720930232558
2016,Psicologia,Servicio Social,324.0,54.0,270.0,65.0,8.0,57.0,57.0,6.0,51.0,0.8333333333333334,0.8769230769230769
2016,Psicologia,Sociologia,1095.0,90.0,1005.0,365.0,26.0,339.0,245.0,18.0,227.0,0.9178082191780822,0.9287671232876712
2016,Psicologia,Terapia Ocupacional,15.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,
2016,Psicologia,Trabajo Social,542.0,74.0,468.0,120.0,17.0,103.0,36.0,3.0,33.0,0.8634686346863468,0.8583333333333333
2016,Religion,Teologia,638.0,577.0,61.0,180.0,155.0,25.0,51.0,47.0,4.0,0.09561128526645768,0.1388888888888889
2016,Salud,Accidentologia,406.0,105.0,301.0,122.0,34.0,88.0,11.0,7.0,4.0,0.7413793103448276,0.7213114754098361
2016,Salud,Administracion Hospitalaria y de Sistemas de Salud,2613.0,809.0,1804.0,737.0,226.0,511.0,658.0,209.0,449.0,0.6903941829314963,0.6933514246947082
2016,Salud,Anestesiologia,749.0,242.0,507.0,241.0,68.0,173.0,17.0,9.0,8.0,0.6769025367156208,0.7178423236514523
2016,Salud,Antropologia,6.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.4
2016,Salud,Arqueologia,252.0,167.0,85.0,56.0,32.0,24.0,7.0,5.0,2.0,0.3373015873015873,0.42857142857142855
2016,Salud,Arquitectura y Urbanismo,17.0,8.0,9.0,7.0,5.0,2.0,5.0,1.0,4.0,0.5294117647058824,0.2857142857142857
2016,Salud,Auxiliares de la Odontologia,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.6666666666666666,
2016,Salud,Bioingenieria,1578.0,902.0,676.0,346.0,183.0,163.0,51.0,28.0,23.0,0.42839036755386567,0.47109826589595377
2016,Salud,Biologia,667.0,257.0,410.0,132.0,56.0,76.0,14.0,10.0,4.0,0.6146926536731634,0.5757575757575758
2016,Salud,Bioquimica,16568.0,4092.0,12476.0,2713.0,743.0,1970.0,991.0,201.0,790.0,0.7530178657653308,0.7261334316255068
2016,Salud,Bioterio,153.0,53.0,100.0,22.0,9.0,13.0,7.0,0.0,7.0,0.6535947712418301,0.5909090909090909
2016,Salud,Bromatologia,1934.0,523.0,1411.0,550.0,163.0,387.0,185.0,48.0,137.0,0.7295760082730093,0.7036363636363636
