anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Derecho,Relaciones Internacionales,142.0,43.0,99.0,122.0,39.0,83.0,0.0,0.0,0.0,0.6971830985915493,0.680327868852459,0.3028169014084507
2011,Derecho,Sociologia,7.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.5714285714285714
2011,Economicas,Actuario,2864.0,1386.0,1478.0,285.0,136.0,149.0,61.0,26.0,35.0,0.5160614525139665,0.5228070175438596,0.48393854748603354
2011,Economicas,Administracion Hospitalaria y de Sistemas de Salud,601.0,262.0,339.0,251.0,104.0,147.0,54.0,23.0,31.0,0.5640599001663894,0.5856573705179283,0.43594009983361065
2011,Economicas,Administracion Hotelera,2115.0,532.0,1583.0,417.0,138.0,279.0,121.0,29.0,92.0,0.7484633569739952,0.6690647482014388,0.2515366430260047
2011,Economicas,Administracion Publica,2463.0,1018.0,1445.0,913.0,387.0,526.0,282.0,142.0,140.0,0.5866829070239545,0.5761226725082147,0.41331709297604546
2011,Economicas,Administracion de Empresas Agropecuarias,3903.0,2412.0,1491.0,1081.0,634.0,447.0,267.0,150.0,117.0,0.38201383551114526,0.41350601295097134,0.6179861644888547
2011,Economicas,Administracion y Gestion Ambiental,91.0,55.0,36.0,24.0,15.0,9.0,6.0,4.0,2.0,0.3956043956043956,0.375,0.6043956043956044
2011,Economicas,Administracion y Gestion Cultural,1602.0,481.0,1121.0,604.0,161.0,443.0,78.0,15.0,63.0,0.6997503121098627,0.7334437086092715,0.30024968789013734
2011,Economicas,Adminsitracion y Produccion de seguros,197.0,108.0,89.0,17.0,10.0,7.0,18.0,8.0,10.0,0.4517766497461929,0.4117647058823529,0.5482233502538071
2011,Economicas,Bibliotecologia y Documentacion,537.0,127.0,410.0,137.0,36.0,101.0,2.0,0.0,2.0,0.7635009310986964,0.7372262773722628,0.23649906890130354
2011,Economicas,Ciencia Politica,393.0,184.0,209.0,142.0,64.0,78.0,54.0,27.0,27.0,0.5318066157760815,0.5492957746478874,0.4681933842239186
2011,Economicas,Ciencias del Ambiente y Recursos Naturales,38.0,19.0,19.0,0.0,0.0,0.0,6.0,2.0,4.0,0.5,,0.5
2011,Economicas,Comercializacion y Marketing,11942.0,6984.0,4958.0,3710.0,2142.0,1568.0,1165.0,556.0,609.0,0.4151733377993636,0.4226415094339623,0.5848266622006364
2011,Economicas,Comercio Exterior,13591.0,7113.0,6478.0,2819.0,1540.0,1279.0,779.0,353.0,426.0,0.47663895224781105,0.4537069882937212,0.523361047752189
2011,Economicas,Comercio Internacional,1842.0,1003.0,839.0,942.0,513.0,429.0,199.0,110.0,89.0,0.4554831704668838,0.4554140127388535,0.5445168295331162
2011,Economicas,Comunicacion Social,65.0,31.0,34.0,10.0,6.0,4.0,12.0,4.0,8.0,0.5230769230769231,0.4,0.47692307692307695
2011,Economicas,Contabilidad,2761.0,1063.0,1698.0,1055.0,411.0,644.0,864.0,352.0,512.0,0.6149945671858023,0.6104265402843602,0.38500543281419775
2011,Economicas,Contador Publico Nacional,147122.0,62292.0,84830.0,23952.0,10683.0,13269.0,7504.0,3052.0,4452.0,0.576596294231998,0.5539829659318637,0.42340370576800207
2011,Economicas,Economia,16385.0,9525.0,6860.0,3362.0,1926.0,1436.0,938.0,550.0,388.0,0.41867561794324076,0.4271267102914932,0.5813243820567592
2011,Economicas,Farmacia,49.0,19.0,30.0,0.0,0.0,0.0,2.0,0.0,2.0,0.6122448979591837,,0.3877551020408163
2011,Economicas,Finanzas y Negocios,6509.0,3879.0,2630.0,2653.0,1540.0,1113.0,771.0,519.0,252.0,0.40405592256875095,0.41952506596306066,0.595944077431249
2011,Economicas,Gestion y Administracion de Empresas,100070.0,48714.0,51356.0,23971.0,11744.0,12227.0,6052.0,2987.0,3065.0,0.5132007594683722,0.5100746735638897,0.4867992405316279
2011,Economicas,Higiene y Seguridad Industrial,14180.0,9650.0,4530.0,6001.0,4004.0,1997.0,1129.0,799.0,330.0,0.31946403385049366,0.33277787035494083,0.6805359661495064
2011,Economicas,Ingenieria Forestal e Industrias de la Madera,111.0,80.0,31.0,2.0,2.0,0.0,1.0,1.0,0.0,0.27927927927927926,0.0,0.7207207207207207
2011,Economicas,"Ingenieria Geodesta Geofisica, Nuclear, Energetica y en Petroleo",108.0,78.0,30.0,40.0,32.0,8.0,16.0,11.0,5.0,0.2777777777777778,0.2,0.7222222222222222
2011,Economicas,Ingenieria Hidraulica,56.0,44.0,12.0,38.0,30.0,8.0,1.0,1.0,0.0,0.21428571428571427,0.21052631578947367,0.7857142857142857
2011,Economicas,Ingenieria Industrial,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
2011,Economicas,Ingenieria Laboral,132.0,100.0,32.0,29.0,23.0,6.0,45.0,39.0,6.0,0.24242424242424243,0.20689655172413793,0.7575757575757576
2011,Economicas,Ingenieria en Alimentos,30.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,,0.43333333333333335
2011,Economicas,Ingenieria en Minas,105.0,101.0,4.0,72.0,70.0,2.0,0.0,0.0,0.0,0.0380952380952381,0.027777777777777776,0.9619047619047619
2011,Economicas,Logistica y Transportes,1037.0,828.0,209.0,445.0,344.0,101.0,31.0,14.0,17.0,0.20154291224686596,0.22696629213483147,0.7984570877531341
2011,Economicas,Marketing y Comercializacion,695.0,310.0,385.0,284.0,127.0,157.0,80.0,40.0,40.0,0.5539568345323741,0.5528169014084507,0.4460431654676259
2011,Economicas,Martillero Publico,5727.0,3081.0,2646.0,1782.0,946.0,836.0,651.0,355.0,296.0,0.46202200104766894,0.4691358024691358,0.5379779989523311
2011,Economicas,Organizacion y Produccion Industrial,2929.0,2199.0,730.0,746.0,583.0,163.0,244.0,191.0,53.0,0.2492318197336975,0.21849865951742628,0.7507681802663025
2011,Economicas,Produccion e Ingenieria Agropecuaria,13.0,5.0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.6153846153846154,0.5,0.38461538461538464
2011,Economicas,Publicidad,6594.0,2868.0,3726.0,1555.0,686.0,869.0,781.0,280.0,501.0,0.565059144676979,0.5588424437299035,0.4349408553230209
2011,Economicas,Redes y Telecomunicaciones,129.0,114.0,15.0,43.0,38.0,5.0,1.0,1.0,0.0,0.11627906976744186,0.11627906976744186,0.8837209302325582
2011,Economicas,Relaciones Institucionales y Humanas,4909.0,1506.0,3403.0,1453.0,476.0,977.0,419.0,101.0,318.0,0.6932165410470564,0.6724019270474879,0.30678345895294357
2011,Economicas,Relaciones Internacionales,51.0,29.0,22.0,32.0,18.0,14.0,3.0,2.0,1.0,0.43137254901960786,0.4375,0.5686274509803921
2011,Economicas,Relaciones Laborales,15244.0,4704.0,10540.0,4213.0,1322.0,2891.0,719.0,180.0,539.0,0.6914195749147205,0.6862093520056967,0.30858042508527944
2011,Economicas,Relaciones Publicas,9508.0,2545.0,6963.0,2384.0,721.0,1663.0,793.0,144.0,649.0,0.7323306689103912,0.6975671140939598,0.2676693310896088
2011,Economicas,Sanidad y Saneamiento Ambiental,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
2011,Economicas,Secretariado,1535.0,482.0,1053.0,1172.0,441.0,731.0,27.0,0.0,27.0,0.6859934853420195,0.6237201365187713,0.31400651465798046
2011,Economicas,Servicio Social,212.0,59.0,153.0,72.0,21.0,51.0,3.0,1.0,2.0,0.7216981132075472,0.7083333333333334,0.2783018867924528
2011,Economicas,Sociologia,106.0,42.0,64.0,57.0,18.0,39.0,20.0,8.0,12.0,0.6037735849056604,0.6842105263157895,0.39622641509433965
2011,Economicas,Tecnologia e Ingenieria en Alimentos,86.0,28.0,58.0,22.0,6.0,16.0,4.0,0.0,4.0,0.6744186046511628,0.7272727272727273,0.32558139534883723
2011,Economicas,Tecnologia y Ciencias Aplicadas,169.0,97.0,72.0,39.0,19.0,20.0,11.0,7.0,4.0,0.4260355029585799,0.5128205128205128,0.5739644970414202
2011,Economicas,Trabajo Social,422.0,56.0,366.0,218.0,33.0,185.0,0.0,0.0,0.0,0.8672985781990521,0.8486238532110092,0.13270142180094788
2011,Economicas,Turismo y Hoteleria,20954.0,6668.0,14286.0,5736.0,1931.0,3805.0,1252.0,286.0,966.0,0.6817791352486399,0.6633542538354253,0.31822086475136013
2011,Educacion,Administracion de Empresas Agropecuarias,55.0,19.0,36.0,6.0,3.0,3.0,2.0,2.0,0.0,0.6545454545454545,0.5,0.34545454545454546
2011,Educacion,Administracion y Gestion Cultural,2714.0,543.0,2171.0,1314.0,237.0,1077.0,22.0,8.0,14.0,0.7999263080324245,0.819634703196347,0.20007369196757555
2011,Educacion,Artes Plasticas,15.0,5.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333
2011,Educacion,Bibliotecologia y Documentacion,2646.0,478.0,2168.0,810.0,138.0,672.0,136.0,22.0,114.0,0.8193499622071051,0.8296296296296296,0.18065003779289493
2011,Educacion,Ciencias de la Educacion,30554.0,6344.0,24210.0,9580.0,2259.0,7321.0,2556.0,498.0,2058.0,0.792367611442037,0.76419624217119,0.20763238855796295
2011,Educacion,Ciencias del Ambiente y Recursos Naturales,62.0,13.0,49.0,0.0,0.0,0.0,18.0,4.0,14.0,0.7903225806451613,,0.20967741935483872
2011,Educacion,Comunicacion Social,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,,0.0
2011,Educacion,Educacion Basica,2994.0,182.0,2812.0,750.0,45.0,705.0,182.0,18.0,164.0,0.9392117568470274,0.94,0.06078824315297261
2011,Educacion,Educacion Especial,1360.0,93.0,1267.0,600.0,43.0,557.0,65.0,7.0,58.0,0.9316176470588236,0.9283333333333333,0.06838235294117648
2011,Educacion,Educacion Fisica y Deportes,5361.0,2817.0,2544.0,1659.0,902.0,757.0,283.0,132.0,151.0,0.4745383324006715,0.4562989752863171,0.5254616675993284
2011,Educacion,Educacion Inicial,3334.0,48.0,3286.0,1024.0,14.0,1010.0,324.0,3.0,321.0,0.9856028794241152,0.986328125,0.014397120575884824
2011,Educacion,Educacion Media,68.0,18.0,50.0,36.0,10.0,26.0,0.0,0.0,0.0,0.7352941176470589,0.7222222222222222,0.2647058823529412
2011,Educacion,Formacion Docente de Nivel Superior y Universitario,3250.0,1139.0,2111.0,1028.0,366.0,662.0,243.0,84.0,159.0,0.6495384615384615,0.6439688715953308,0.35046153846153844
2011,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no,1356.0,388.0,968.0,291.0,83.0,208.0,45.0,14.0,31.0,0.7138643067846607,0.7147766323024055,0.2861356932153392
2011,Educacion,Frances,53.0,12.0,41.0,10.0,2.0,8.0,7.0,2.0,5.0,0.7735849056603774,0.8,0.22641509433962265
2011,Educacion,Geografia,108.0,37.0,71.0,32.0,12.0,20.0,10.0,5.0,5.0,0.6574074074074074,0.625,0.3425925925925926
2011,Educacion,Gestion y Administracion de Empresas,316.0,67.0,249.0,154.0,37.0,117.0,42.0,8.0,34.0,0.7879746835443038,0.7597402597402597,0.2120253164556962
2011,Educacion,Ingenieria Ambiental,30.0,9.0,21.0,30.0,9.0,21.0,0.0,0.0,0.0,0.7,0.7,0.3
2011,Educacion,Ingenieria Naval,142.0,139.0,3.0,39.0,39.0,0.0,127.0,124.0,3.0,0.02112676056338028,0.0,0.9788732394366197
2011,Educacion,Ingles,157.0,38.0,119.0,0.0,0.0,0.0,23.0,2.0,21.0,0.7579617834394905,,0.24203821656050956
2011,Educacion,Letras,266.0,41.0,225.0,87.0,18.0,69.0,5.0,1.0,4.0,0.8458646616541353,0.7931034482758621,0.15413533834586465
2011,Educacion,Martillero Publico,95.0,37.0,58.0,29.0,11.0,18.0,0.0,0.0,0.0,0.6105263157894737,0.6206896551724138,0.3894736842105263
2011,Educacion,Medicina,16.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,,0.25
