universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,latitud,longitud,municipio_id,municipio_nombre,provincia_id,provincia_nombre,carrera_grupo,carrera_nombre
Universidad de Ciencias Empresariales y Sociales,Universidad de Ciencias Empresariales y Sociales,Paraguay 1401,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Paraguay 1401&provincia=2,"-34.5982797695651,-58.3869599869626",,,,,,,,,,,,,,,,,,,,,,-34.5982797695651,-58.3869599869626,2014.0,Comuna 2,-34.5982797695651,-58.3869599869626,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Educación,Sociales,Economicas,Arte,Psicologia,Naturales,Derecho,Policial,Salud","Filosofia,Artes Audiovisuales,Odontologia,Ciencia Politica,Ciencias del Ambiente y Recursos Naturales,Comercio Exteríor,Sociologia,Salud Publica,Bibliotecologia y Documentacion,Ciencias de la Educación,Sociología,Salud Pública,Turismo y Hotelería,Periodismo,Contador Publico Nacional,Comercio Exterior,Administración Hospitalaria y de Sistemas de Salud,Kinesiologia,Enfermería,Comunicacion Social,Formacion Docente de Nivel Superíor y Universitario,Marketing y Comercialización,Comercio Internacional,Ingeniería en Sistemas,Comercializacion y Marketing,Psicologia,Diseño Grafico,Finanzas y Negocios,Enfermeria,Economía,Contador Público Nacional,Carrera No Definida,Administración y Gestión Ambiental,Psicología,Turismo y Hoteleria,Kinesiología,Publicidad,Períodismo,Relaciones Publicas,Nutrición,Bibliotecología y Documentación,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Derecho y Ciencias Jurídicas,Criminologia,Ciencia Política,Comercialización y Marketing,Educación Inicial,Nutricion,Medicina,Formación Docente de Nivel Superior y Universitario,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Comunicación Social,Criminología,Marketing y Comercializacion,Relaciones Públicas,Odontología,Diseño Gráfico,Relaciones Laborales,Economia,Abogacia,Contabilidad,Relaciones Institucionales y Humanas"
Universidad de Concepción del Uruguay,Universidad de Concepción del Uruguay,8 de Junio 522,,"-32.4815741,-58.2318849",,,,,,,,,,,,,,,,,,,,,,-32.4815741,-58.23188489999999,30098.0,Uruguay,-32.4815741,-58.23188489999999,,,30,Entre Ríos,"Educación,Sociales,Economicas,Arte,Naturales,Derecho,Exactas,Arquitectura,Salud","Comercio Exteríor,Educación Fisica y Deportes,Diseño de Interíores,Sociología,Educación Especial,Periodismo,Contador Publico Nacional,Comercio Exterior,Diseño Textil y de Indumentaria,Formacion Docente de Nivel Superíor y Universitario,Bromatologia,Locucion,Laboratorio,Educación Basica,Comercializacion y Marketing,Finanzas y Negocios,Matemática,Economía,Contador Público Nacional,Educación Básica,Arquitectura y Urbanismo,Períodismo,Relaciones Publicas,Nutrición,Matematica,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Comercialización y Marketing,Educación Inicial,Bromatología,Producción e Ingeniería Agropecuaria,Nutricion,Medicina,Educación Física y Deportes,Formación Docente de Nivel Superior y Universitario,Diseño de Interiores,Laboratorío,Locución,Abogacía,Ingeniería Agronómica,Relaciones Públicas,Ingeniería Agronomica,Sociologia,Economia,Abogacia,Contabilidad"
Universidad de Congreso,Universidad de Congreso,Av. Callao 150,,"-34.6021519,-58.3890774",,,,,,,,,,,,,,,,,,,,,,-34.602151899999996,-58.3890774,2007.0,Comuna 1,-34.602151899999996,-58.3890774,,,02,Ciudad Autónoma de Buenos Aires,,
Universidad de Flores,Universidad de Flores,Av. Rivadavia 5741,,"-34.6274699,-58.4589968",,,,,,,,,,,,,,,,,,,,,,-34.627469899999994,-58.4589968,2049.0,Comuna 7,-34.627469899999994,-58.4589968,,,02,Ciudad Autónoma de Buenos Aires,"Salud,Educación,Sociales,Arte,Psicologia,Naturales,Derecho,Deporte,Arquitectura,Economicas","Ciencias del Ambiente y Recursos Naturales,Higiene y Seguridad Industrial,Educación Fisica y Deportes,Contador Publico Nacional,Comunicacion Social,Psicologia,Diseño Grafico,Ingeniería Ambiental,Contador Público Nacional,Carrera No Definida,Psicología,Arquitectura y Urbanismo,Kinesiología,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Psicopedagogía,Gestión y Administración de Empresas,Actividad Fisica y Deportes,Psicopedagogia,Educación Física y Deportes,Abogacía,Comunicación Social,Actividad Física y Deportes,Diseño Gráfico,Abogacia,Servicio Social,Contabilidad,Antropología"
Universidad de la Cuenca del Plata,Universidad de la Cuenca del Plata,Donovan 521,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Donovan 521,"-27.3750927,-55.9028806",,,,,,,,,,,,,,,,,,,,,,-27.375092699999996,-55.902880599999996,54028.0,Capital,-27.375092699999996,-55.902880599999996,540119.0,Posadas,54,Misiones,"Tecnologia,Educación,Sociales,Economicas,Arte,Psicologia,Naturales,Derecho,Salud","Comercio Exteríor,Tecnologia e Ingeniería en Alimentos,Ciencias de la Educación,Educación Fisica y Deportes,Fonoaudiología,Secretariado,Periodismo,Computación, Sistemas e Informática,Historia,Contador Publico Nacional,Comercio Exterior,Diseño Textil y de Indumentaria,Enfermería,Comercio Internacional,Educación Basica,Ingeniería en Sistemas,Ingeniería en Telecomunicaciones,Comercializacion y Marketing,Finanzas y Negocios,Psicologia,Diseño Grafico,Enfermeria,Tecnología e Ingeniería en Alimentos,Contador Público Nacional,Ingeniería Industrial,Psicología,Publicidad,Períodismo,Nutrición,Geografia,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Psicopedagogía,Comercialización y Marketing,Nutricion,Psicopedagogia,Abogacía,Derecho y Ciencias Juridicas,Tecnologia y Ciencias Aplicadas,Diseño Gráfico,Sociologia,Criminología,Abogacia,Geografía"
Universidad de la Defensa Nacional,Universidad de la Defensa Nacional,Maipú 262,,"-34.6050036,-58.3788407",,,,,,,,,,,,,,,,,,,,,,-34.6050036,-58.3788407,2007.0,Comuna 1,-34.6050036,-58.3788407,,,02,Ciudad Autónoma de Buenos Aires,,
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,Avellaneda 3341,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avellaneda 3341&provincia=6,"-38.00719142806125,-57.563677285266195",,,,,,,,,,,,,,,,,,,,,,-38.007191428061255,-57.5636772852662,6357.0,General Pueyrredón,-38.007191428061255,-57.5636772852662,60357.0,General Pueyrredón,06,Buenos Aires,"Tecnologia,Educación,Religion,Sociales,Economicas,Arte,Ingeniería,Psicologia,Idiomas,Naturales,Derecho,Policial,Salud","Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Inglés,Artes Audiovisuales,Higiene y Seguridad Industrial,Bibliotecologia y Documentacion,Ciencias de la Educación,Educación Fisica y Deportes,Fonoaudiología,Turismo y Hotelería,Periodismo,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Accidentologia,Computación, Sistemas e Informática,Contador Publico Nacional,Kinesiologia,Teología,Comunicacion Social,Locucion,Marketing y Comercialización,Ingeniería en Sistemas,Educación Basica,Comercializacion y Marketing,Martillero Público,Fonoaudiologia,Ingeniería Ambiental,Contador Público Nacional,Teologia,Carrera No Definida,Administración y Gestión Ambiental,Ingeniería Industrial,Educación Básica,Turismo y Hoteleria,Kinesiología,Períodismo,Nutrición,Bibliotecología y Documentación,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Psicopedagogía,Criminologia,Comercialización y Marketing,Educación Inicial,Formacion Docente para el nivel medio y/o superíor Universitario y no,Nutricion,Psicopedagogia,Medicina,Educación Física y Deportes,Ingles,Locución,Abogacía,Derecho y Ciencias Juridicas,Comunicación Social,Martillero Publico,Marketing y Comercializacion,Relaciones Laborales,Criminología,Abogacia,Contabilidad,Relaciones Institucionales y Humanas"
Universidad de la Marina Mercante,Universidad de la Marina Mercante,Av. Rivadavia 2258,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Rivadavia 2258&provincia=2," -34.60965001204205, -58.398471321349234",,,,,,,,,,,,,,,,,,,,,,-34.60965001204205,-58.39847132134923,2021.0,Comuna 3,-34.60965001204205,-58.39847132134923,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Salud,Ingeniería,Sociales,Psicologia,Naturales,Derecho,Exactas,Economicas","Ingeniería Electronica,Logística y Transportes,Comercio Exteríor,Ciencias del Ambiente y Recursos Naturales,Higiene y Seguridad Industrial,Turismo y Hotelería,Computación, Sistemas e Informática,Ingeniería Electrónica,Contador Publico Nacional,Comercio Exterior,Radiología y Diagnóstico por Imágenes,Ingeniería Naval,Comunicacion Social,Ingeniería en Sistemas,Logistica y Transportes,Comercializacion y Marketing,Finanzas y Negocios,Psicologia,Economía,Electronica,Contador Público Nacional,Ingeniería Industrial,Psicología,Turismo y Hoteleria,Organizacion y Produccion Industrial,Relaciones Publicas,Ingeniería Mecánica,Gestion y Administración de Empresas,Psicopedagogía,Gestión y Administración de Empresas,Ingeniería Electromecánica,Comercialización y Marketing,Psicopedagogia,Abogacía,Comunicación Social,Relaciones Públicas,Radiologia y Diagnostico por Imagenes,Relaciones Laborales,Economia,Abogacia,Contabilidad"
Universidad de Mendoza,Universidad de Mendoza,Av. Boulogne Sur Mer 683,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Boulogne Sur Mer 683&provincia=50,"-32.8916714,-68.8635323",,,,,,,,,,,,,,,,,,,,,,-32.8916714,-68.8635323,50007.0,Capital,-32.8916714,-68.8635323,500007.0,Capital,50,Mendoza,"Tecnologia,Educación,Ingeniería,Economicas,Arte,Psicologia,Derecho,Arquitectura,Salud","BioIngeniería,Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Ingeniería Electronica,Odontologia,Electrónica,Notariado,Higiene y Seguridad Industrial,Diseño de Interíores,Computación, Sistemas e Informática,Ingeniería Electrónica,Contador Publico Nacional,Instrumentación Quirúrgica,Diseño Textil y de Indumentaria,Kinesiologia,Radiología y Diagnóstico por Imágenes,Formacion Docente de Nivel Superíor y Universitario,Ingeniería en Sistemas,Instrumentacion Quirurgica,Martillero Público,Psicologia,Diseño Grafico,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Aplicadas,Electronica,Contador Público Nacional,Administración Hotelera,Carrera No Definida,Ingeniería Industrial,Administración y Gestión Ambiental,Psicología,Arquitectura y Urbanismo,Kinesiología,Ingeniería Civil,Nutrición,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Bioingeniería,Formacion Docente para el nivel medio y/o superíor Universitario y no,Nutricion,Medicina,Formación Docente de Nivel Superior y Universitario,Diseño de Interiores,Abogacía,Derecho y Ciencias Juridicas,Martillero Publico,Odontología,Radiologia y Diagnostico por Imagenes,Diseño Gráfico,Abogacia"
Universidad de Morón,Universidad de Morón,Cabildo 134,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Cabildo 134&provincia=6," -34.64724004619001, -58.61977592468715",,,,,,,,,,,,,,,,,,,,,,-34.647240046190014,-58.61977592468715,6568.0,Morón,-34.647240046190014,-58.61977592468715,60568.0,Morón,06,Buenos Aires,"Salud,Tecnologia,Educación,Ingeniería,Sociales,Arte,Psicologia,Idiomas,Naturales,Derecho,Exactas,Policial,Arquitectura,Economicas","Odontologia,Diseño de Interíores,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Computación, Sistemas e Informática,Biología,Administración Hospitalaria y de Sistemas de Salud,Instrumentación Quirúrgica,Kinesiologia,Formacion Docente de Nivel Superíor y Universitario,Ingeniería en Sistemas,Ingeniería en Telecomunicaciones,Comercializacion y Marketing,Instrumentacion Quirurgica,Martillero Público,Genetica,optica,Economía,Carrera No Definida,Ingeniería Industrial,Psicología,Kinesiología,Publicidad,Períodismo,Relaciones Publicas,Ingeniería Civil,Agrimensura,Ciencia Política,Ingeniería Electromecánica,Comercialización y Marketing,Diseño de Interiores,Relaciones Públicas,Ingeniería Agronomica,Geografía,Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Inglés,Ingeniería Electronica,Artes Audiovisuales,Logística y Transportes,Tecnologia e Ingeniería en Alimentos,Higiene y Seguridad Industrial,Contador Publico Nacional,Diseño Textil y de Indumentaria,Enfermería,Teatro y Danza,Farmacia,Tecnología e Ingeniería en Alimentos,Contador Público Nacional,Administración y Gestión Ambiental,Arquitectura y Urbanismo,Produccion e Ingeniería Agropecuaria,Biologia,Criminologia,Quimica,Formacion Docente para el nivel medio y/o superíor Universitario y no,Producción e Ingeniería Agropecuaria,Nutricion,Medicina,Ingles,Martillero Publico,Tecnologia y Ciencias Aplicadas,Paisajismo, Jardineria y Floricultura,Odontología,Filosofia,Ciencia Politica,Turismo y Hotelería,Tecnología y Ciencias Aplicadas,Ingeniería Electrónica,Redes y Telecomunicaciones,Comunicacion Social,Comercio Internacional,Logistica y Transportes,Ingeniería Química,Finanzas y Negocios,Administración Hotelera,Obstetricia,Turismo y Hoteleria,Trabajo Social,Adminsitracion y Produccion de seguros,Ingeniería  Eléctrica,Gestion y Administración de Empresas,Psicopedagogía,Bioquimica,Abogacia,Servicio Social,Relaciones Institucionales y Humanas,BioIngeniería,Francés,Óptica,Comercio Exteríor,Notariado,Ciencias del Ambiente y Recursos Naturales,Bioquímica,Ciencias de la Educación,Paisajismo, Jardinería y Floricultura,Letras,Educación Especial,Periodismo,Historia,Comercio Exterior,Portugués,Ingeniería en Agrimensura,Educación Basica,Psicologia,Diseño Grafico,Enfermeria,Ingeniería Eléctrica,Genética,Educación Básica,Nutrición,Gestión y Administración de Empresas,Derecho y Ciencias Jurídicas,Bioingeniería,Relaciones Internacionales,Psicopedagogia,Formación Docente de Nivel Superior y Universitario,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Actividad Física y Deportes,Comunicación Social,Ingeniería Agronómica,Química,Diseño Gráfico,Economia,Criminología,Contabilidad"
Universidad de Palermo,Universidad de Palermo,Marío Bravo 1050,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Marío Bravo 1050&provincia=2,"-34.5972849453752,-58.41576251085405",,,,,,,,,,,,,,,,,,,,,,-34.5972849453752,-58.415762510854044,2098.0,Comuna 14,-34.5972849453752,-58.415762510854044,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Educación,Ingeniería,Sociales,Arte,Psicologia,Naturales,Derecho,Otros,Arquitectura,Economicas","Artes Plasticas,Ingeniería Electronica,Artes Audiovisuales,Filosofia,Ciencia Politica,Comercio Exteríor,Ciencias de la Educación,Diseño de Interíores,Sociología,Turismo y Hotelería,Letras,Periodismo,Computación, Sistemas e Informática,Ingeniería Electrónica,Contador Publico Nacional,Comercio Exterior,Diseño Textil y de Indumentaria,Música,Comunicacion Social,Formacion Docente de Nivel Superíor y Universitario,Marketing y Comercialización,Teatro y Danza,Ingeniería en Sistemas,Comercio Internacional,Ingeniería en Telecomunicaciones,Comercializacion y Marketing,Finanzas y Negocios,Psicologia,Diseño Grafico,Contador Público Nacional,Administración Hotelera,Carrera No Definida,Ingeniería Industrial,Psicología,Arquitectura y Urbanismo,Turismo y Hoteleria,Organizacion y Produccion Industrial,Publicidad,Artes Plásticas,Períodismo,Relaciones Publicas,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Gestión y Administración de Empresas,Ciencia Política,Comercialización y Marketing,Relaciones Internacionales,Psicopedagogia,Formación Docente de Nivel Superior y Universitario,Diseño de Interiores,Abogacía,Diseño Industrial,Derecho y Ciencias Juridicas,Comunicación Social,Paisajismo, Jardineria y Floricultura,Marketing y Comercializacion,Administración y Gestión Cultural,Relaciones Públicas,Musica,Diseño Gráfico,Sociologia,Abogacia,Organización y Producción Industrial,Contabilidad,Relaciones Institucionales y Humanas"
Universidad de San Andrés,Universidad de San Andrés,Vito Dumas 284,,"-34.4461156,-58.5321377",,,,,,,,,,,,,,,,,,,,,,-34.4461156,-58.5321377,6749.0,San Fernando,-34.4461156,-58.5321377,60749.0,San Fernando,06,Buenos Aires,"Tecnologia,Educación,Sociales,Derecho,Arquitectura,Economicas","Filosofia,Ciencia Politica,Ciencias de la Educación,Periodismo,Tecnología y Ciencias Aplicadas,Historia,Contador Publico Nacional,Comunicacion Social,Formacion Docente de Nivel Superíor y Universitario,Marketing y Comercialización,Ingeniería en Telecomunicaciones,Comercializacion y Marketing,Finanzas y Negocios,Economía,Contador Público Nacional,Períodismo,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Derecho y Ciencias Jurídicas,Ciencia Política,Comercialización y Marketing,Relaciones Internacionales,Formación Docente de Nivel Superior y Universitario,Diseño de Interiores,Abogacía,Filosofía,Derecho y Ciencias Juridicas,Comunicación Social,Tecnologia y Ciencias Aplicadas,Marketing y Comercializacion,Relaciones Laborales,Economia,Abogacia"
