"carrera","carrera_grupo","Carrera_normalizada"
"Abogado","Derecho","Abogacia"
"Abogado - Ciclo de Complementacion Curricular","Derecho","Abogacia"
"Abogado - MD","Derecho","Abogacia"
"Abogado Especialista en Administracion de Justicia","Derecho","Abogacia"
"Abogado especialista en Asesoramiento de Empresas","Derecho","Abogacia"
"Abogado Especialista en Asesoria Juridica de Empresas","Derecho","Abogacia"
"Abogado especialista en Derecho Administrativo Economico","Derecho","Abogacia"
"Abogado especialista en Derecho Ambiental","Derecho","Abogacia"
"Abogado especialista en Derecho de Alta Tecnologia","Derecho","Abogacia"
"Abogado especialista en Derecho Penal","Derecho","Abogacia"
"Abogado especialista en Derecho Procesal","Derecho","Abogacia"
"Abogado Especialista en Derecho Tributarío","Derecho","Abogacia"
"Abogado especialista en Magistratura","Derecho","Abogacia"
"Abogado especializado para la Magistratura","Derecho","Abogacia"
"Abogado/a","Derecho","Abogacia"
"Bachiller Universitarío -titulo intermedio de la carrera de Abogacia-","Derecho","Abogacia"
"CBC - Abogado","Derecho","Abogacia"
"Escribano - Ciclo de Complementacion Curricular","Derecho","Abogacia"
"Especialista en Abogacia del Estado","Derecho","Abogacia"
"Especialista en Derecho Constitucional","Derecho","Abogacia"
"Magister en Abogacia del Estado","Derecho","Abogacia"
"Magister en Derecho Empresarío Economico","Derecho","Abogacia"
"Licenciado en Accidentologia Vial","Sociales","Accidentologia"
"Licenciado en Accidentologia y Prevencion Vial","Sociales","Accidentologia"
"Licenciado en Gestion de Siniestros","Sociales","Accidentologia"
"Licenciado en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Licenciado en Proteccion Civil y Emergencias - MD","Sociales","Accidentologia"
"Licenciado en Seguridad Ciudadana","Sociales","Accidentologia"
"Licenciado en Seguridad Ciudadana - Ciclo de Licenciatura","Sociales","Accidentologia"
"Licenciado en Seguridad Publica","Sociales","Accidentologia"
"Licenciado en Seguridad Publica - Ciclo de Licenciatura","Sociales","Accidentologia"
"Licenciado en Sistema de Proteccion Contra Siniestros","Sociales","Accidentologia"
"Maestria en Seguridad Publica","Sociales","Accidentologia"
"Magister en Aplicaciones Espaciales de Alerta y Respuesta Temprana a Emergencias","Sociales","Accidentologia"
"Perito en Accidentologia","Sociales","Accidentologia"
"Tecnico en Accidentologia Vial","Sociales","Accidentologia"
"Tecnico en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Tecnico en Proteccion Civil y Emergencias - MD","Sociales","Accidentologia"
"Tecnico en Seguridad Publica","Sociales","Accidentologia"
"Tecnico Universitarío en Emergencias Sanitarias y Desastres","Sociales","Accidentologia"
"Tecnico Universitarío en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Tecnico Universitarío en Proteccion de Incendios","Sociales","Accidentologia"
"Tecnico Universitarío en Seguridad Publica","Sociales","Accidentologia"
"Tecnico Universitarío en Seguridad Publica y Ciudadana con orientacion en Criminalistica","Sociales","Accidentologia"
"Tecnico Universitarío en Seguridad Publica y Ciudadana con orientacion en Siniestros","Sociales","Accidentologia"
"Tecnico Universitarío en Seguridad Publica y Ciudadana con orientacion en Tecnologias de la Informacion y Comunicaciones Policiale","Sociales","Accidentologia"
"Especialista en Deporte y Actividad Fisica para la Salud","Deporte","Actividad Fisica y Deportes"
"Especialista en Entrenamiento de Deporte Social","Deporte","Actividad Fisica y Deportes"
"Especialista en Programacion y Evaluacion del Ejercicio","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica y Deporte","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica y Deporte - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica y Deportiva","Deporte","Actividad Fisica y Deportes"
"Licenciado en Actividad Fisica y Deportiva - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciado en Alto Rendimiento Deportivo - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciado en Enseñanza de las Ciencias","Deporte","Actividad Fisica y Deportes"
"Licenciado en Tiempo Libre para el Deporte y el Turismo - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Magister en Actividad Fisica y Calidad de Vida","Deporte","Actividad Fisica y Deportes"
"Magister en Deporte","Deporte","Actividad Fisica y Deportes"
"Magister en Diseño y Gestion de Programas de Actividad Fisica para la Salud","Deporte","Actividad Fisica y Deportes"
"Tecnico Deportivo","Deporte","Actividad Fisica y Deportes"
"Tecnico Deportivo en Box","Deporte","Actividad Fisica y Deportes"
"Tecnico Deportivo en Judo","Deporte","Actividad Fisica y Deportes"
"Tecnico Deportivo en Karate","Deporte","Actividad Fisica y Deportes"
"Tecnico Deportivo en Taekwondo","Deporte","Actividad Fisica y Deportes"
"Tecnico en Deportes","Deporte","Actividad Fisica y Deportes"
"Tecnico Universitarío en Yoga","Deporte","Actividad Fisica y Deportes"
"Actuarío","Economicas","Actuarío"
"Actuarío (Administracion)","Economicas","Actuarío"
"Actuarío (Economia)","Economicas","Actuarío"
"Ciclo Actuarío","Economicas","Actuarío"
"Especialista en Tecnicas Actuariales de la Seguridad Social","Economicas","Actuarío"
"Analista Administrativo Agropecuarío","Economicas","Administracion de Empresas Agropecuarias"
"Analista en Administracion Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Diplomado Superíor en Planificacion y Proyectos de Inversion Agraríos y Rurales","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Administracion de la Educacion","Educacion","Administracion de Empresas Agropecuarias"
"Especialista en Agroecologia","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Agroeconomia","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Agronegocios y Alimentos","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Alta Direccion de Agronegocios y Alimentos","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Gerenciamiento de Empresas Vitivinicolas","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Gestion de la Empresa Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Gestion de la Industria Agroalimentaria","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Politicas Agroalimentarias","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Produccion Avicola","Naturales","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion Agraria - MD","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion de Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion de Negocios Agropecuaríos","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion Rural","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Administracion y Gestion de Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Agronegocios - Ciclo de Licenciatura","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Economia y Administracion Agrarias","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Gestion de Agroalimentos","Naturales","Administracion de Empresas Agropecuarias"
"Licenciado en Gestion de Agroempresas - Ciclo de Complementacion Curricular - MD","Naturales","Administracion de Empresas Agropecuarias"
"Licenciado en Gestion de Empresas Agroindustriales","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Gestion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Licenciado en Produccion Agropecuaria - Ciclo de Complementacion Curricular","Naturales","Administracion de Empresas Agropecuarias"
"Licenciado en Produccion y Gestion Agropecuaria","Naturales","Administracion de Empresas Agropecuarias"
"Magister de la Universidad de Buenos Aires en Agronegocios y Alimentos","Naturales","Administracion de Empresas Agropecuarias"
"Magister de la Universidad de Buenos Aires, area Economia Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Magister en Agroeconomia","Economicas","Administracion de Empresas Agropecuarias"
"Magister en Agronegocios","Naturales","Administracion de Empresas Agropecuarias"
"Magister en Agronegocios y Alimentos","Naturales","Administracion de Empresas Agropecuarias"
"Magister en Gerenciamiento de Empresas Agroalimentarias","Economicas","Administracion de Empresas Agropecuarias"
"Magister en Gerenciamiento de Negocios Agroindustriales","Naturales","Administracion de Empresas Agropecuarias"
"Magister en Gerenciamiento Estrategico Vitivinicola","Naturales","Administracion de Empresas Agropecuarias"
"Magister en Gestion de la Empresa Agroalimentaria","Naturales","Administracion de Empresas Agropecuarias"
"Magister en Produccion Agropecuaria en Regiones Semiaridas","Naturales","Administracion de Empresas Agropecuarias"
"Magister Scientiae en Economia Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Administracion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Administracion de Empresas Agropecuarias - MD","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Administracion de Empresas con orientacion en Agropecuaria y Agroindustrial","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Gestion Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Gestion de Empresas Agricolas","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico en Gestion de Empresas Pecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Administracion Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Administracion Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Administracion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Administracion Rural","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Administracion y Planificacion Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Emprendimientos Agroalimentaríos","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Emprendimientos Agropecuaríos","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Gestion de Empresas Agropecuarias - MD","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Gestion y Administracion Rural","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Organizacion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Recursos Naturales Renovables con Orientacion en Produccion Acuicola","Naturales","Administracion de Empresas Agropecuarias"
"Tecnico Universitarío en Recursos Naturales Renovables con Orientacion en Produccion Agropecuaria","Naturales","Administracion de Empresas Agropecuarias"
"Diplomado en Gestion de Servicios de Salud - MD","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Administracion de Salud con Orientacion en Auditoria Bioquimica Integral","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Administracion de Servicios de la Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Administracion Hospitalaria","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Administracion y Gestion en Enfermeria","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Calidad y Auditoria de la Atencion de la Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Calidad y Auditoria de la Atencion Medica","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Direccion de Sistemas de Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Economia y Gestion de los Servicios de Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Economia y Gestion de Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion de Calidad y Auditoria en Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion de la Calidad en Servicios de Salud con Mencion en Servicios de Enfermeria","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion de la Calidad en Servicios de Salud con Mencion en Servicios de Nutricion","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion de Organizacion de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion Estrategica de Organizaciones de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Gestion y Direccion de Instituciones de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Especialista en Politicas y Administracion en Salud Mental","Sociales","Administracion Hospitalaria y de Sistemas de Salud"
"Licenciado en Administracion con orientacion en Salud y Seguros Sociales","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Licenciado en Administracion de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Licenciado en Administracion de Salud - Ciclo de Licenciatura","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Licenciado en Administracion de Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister de la Universidad de Buenos Aires en Administracion de Sistemas y Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister de la Universidad de Buenos Aires en Efectividad Clinica con orientacion en Investigacion y gestion","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Magister de la Universidad de Buenos Aires en Gerenciamiento de Sistemas de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister de la Universidad de Buenos Aires en Gestion y Desarrollo de la Seguridad Social","Sociales","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Administracion de Servicios de Enfermeria","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Administracion de Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Administracion y Gestion de Enfermeria","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Economia de la Salud y Administracion de Organizaciones de la Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Economia de la Salud y Administracion de Organizaciones de Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Economia y Gestion de la Salud","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gerencia y Administracion de Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gerencia y Administracion de Sistemas y Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gerencia y Administracion en Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gerenciamiento Integral de Servicios de Enfermeria","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion de Servicios de Gerontologia","Economicas","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion de Servicios de Salud Mental","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion de Sistemas de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion de Sistemas y Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion Estrategica de Sistemas y Servicios de Salud Bucal","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Gestion Publica de la Salud con orientacion en Practicas Preventivas, Sociales y Comunitarias","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Salud Publica con Orientacion en Sistema de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Salud Publica con Orientacion en Sistemas Municipales de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Magister en Salud Publica con Orientaciones en Establecimientos y Servicios de Atencion Medica","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Medico Especialista en Auditoria Medica","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Promotor de la Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Tecnico Universitarío en Administracion de Organizaciones de la Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Tecnico Universitarío en Administracion de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Tecnico Universitarío en Administracion de Salud - MD","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Tecnico Universitarío en Administracion de Servicios de Salud","Salud","Administracion Hospitalaria y de Sistemas de Salud"
"Analista en Administracion Hotelera","Economicas","Administracion Hotelera"
"Especialista en Direccion y Gestion de Alojamientos Turisticos","Economicas","Administracion Hotelera"
"Especialista en Empresas y Emprendimientos Turisticos","Economicas","Administracion Hotelera"
"Licenciado en Administracion de Empresas Hoteleras y Gastronomicas - Ciclo de Licenciatura","Economicas","Administracion Hotelera"
"Licenciado en Administracion Gastronomica - Ciclo de Licenciatura","Economicas","Administracion Hotelera"
"Licenciado en Administracion Hotelera","Economicas","Administracion Hotelera"
"Licenciado en Administracion Hotelera - Ciclo de Licenciatura","Economicas","Administracion Hotelera"
"Licenciado en Administracion Hotelera - MD","Economicas","Administracion Hotelera"
"Licenciado en Gastronomia","Sociales","Administracion Hotelera"
"Licenciado en Gastronomia - Ciclo de Licenciatura","Sociales","Administracion Hotelera"
"Licenciado en Gestion de Empresas Turisticas y Hoteleras - Ciclo de Licenciatura - MD","Economicas","Administracion Hotelera"
"Licenciado en Gestion Hotelera","Economicas","Administracion Hotelera"
"Licenciado en Hoteleria - Ciclo de Licenciatura","Economicas","Administracion Hotelera"
"Tecnico en Gerenciamiento de Servicios Gastronomicos","","Administracion Hotelera"
"Tecnico en Gestion Gastronomica","Economicas","Administracion Hotelera"
"Tecnico Universitarío en Administracion de Empresas Gastronomicas y de Alojamiento","Economicas","Administracion Hotelera"
"Tecnico Universitarío en Administracion Hotelera","Economicas","Administracion Hotelera"
"Tecnico Universitarío en Gastronomia","Sociales","Administracion Hotelera"
"Analista Universitarío en Administracion Publica","Economicas","Administracion Publica"
"Analista Universitarío en Administracion y Contabilidad del Sector Publico con Orientacion en Administracion Maritima","Economicas","Administracion Publica"
"Ciclo Basico de Formacion- Licenciado en Administracion Publica","Economicas","Administracion Publica"
"Diplomado en Gestion Publica","Economicas","Administracion Publica"
"Diplomado en Politicas Publicas con orientacion en Gestion Territorial del Estado - MD","Economicas","Administracion Publica"
"Diplomado Superíor en Desarrollo Rural (Titulo Propio) - MD","Economicas","Administracion Publica"
"Diplomado Superíor en Desarrollo, Politicas Publicas e Integracion Regional (Titulo Propio) - MD","Economicas","Administracion Publica"
"Diplomado Superíor en Gestion Publica Local","Economicas","Administracion Publica"
"Diplomado Superíor en Gestion y Control de Politicas Publicas (Titulo Propio)","Economicas","Administracion Publica"
"Especialista en Administracion Financiera en el Sector Publico","Economicas","Administracion Publica"
"Especialista en Administracion Financiera Gubernamental","Economicas","Administracion Publica"
"Especialista en Administracion Publica Provincial y Municipal","Economicas","Administracion Publica"
"Especialista en Control Gubernamental","Economicas","Administracion Publica"
"Especialista en Direccion de Organizaciones Publicas","Economicas","Administracion Publica"
"Especialista en Gerencia y Vinculacion Tecnológica","","Administracion Publica"
"Especialista en Gestion Estrategica de Organizaciones Publicas","Economicas","Administracion Publica"
"Especialista en Gestion Publica","Economicas","Administracion Publica"
"Especialista en Gestion Social","Economicas","Administracion Publica"
"Especialista en Planificacion y Gestion de Recursos Materiales de Organizaciones Militares Terrestres","Economicas","Administracion Publica"
"Licenciado en Administracion Publica - Ciclo de Complementacion Curricular - MD","Economicas","Administracion Publica"
"Licenciado en Administracion Publica - Ciclo de Licenciatura","Economicas","Administracion Publica"
"Licenciado en Administracion y Contabilidad del Sector Publico con orientacion en Administracion Maritima","Economicas","Administracion Publica"
"Licenciado en Conduccion y Gestion Operativa  - Orientacion Armas","Economicas","Administracion Publica"
"Licenciado en Conduccion y Gestion Operativa  - Orientacion Arsenales","Economicas","Administracion Publica"
"Licenciado en Conduccion y Gestion Operativa  - Orientacion Intendencia","Economicas","Administracion Publica"
"Licenciado en Gestion de Politicas Publicas - Ciclo de Licenciatura","Sociales","Administracion Publica"
"Licenciado en Gestion Publica - Ciclo de Complementacion Curricular","Economicas","Administracion Publica"
"Licenciado en Gestion y Administracion Universitaria - Ciclo de Licenciatura","Economicas","Administracion Publica"
"Magister de la Universidad de Buenos Aires en Administracion Publica","Economicas","Administracion Publica"
"Magister de la Universidad de Buenos Aires en Gestion y Desarrollo Gubernamental","Economicas","Administracion Publica"
"Magister en Administracion Publica","Economicas","Administracion Publica"
"Magister en Administracion publica - MD","Economicas","Administracion Publica"
"Magister en Administracion Publica, Provincial y Municipal","Economicas","Administracion Publica"
"Magister en Diseño y Gestion de Programas Sociales","Arte","Administracion Publica"
"Magister en Evaluacion de Politicas Publicas","Sociales","Administracion Publica"
"Magister en Gerencia Publica","","Administracion Publica"
"Magister en Gestion Financiera del Sector Publico","Economicas","Administracion Publica"
"Magister en Gestion Publica","Economicas","Administracion Publica"
"Magister en Politicas de Planificacion y Evaluacion de la Educacion Superíor","Sociales","Administracion Publica"
"Magister en Politicas Publicas para el Desarrollo con Inclusion Social","Sociales","Administracion Publica"
"Magister en Politicas Publicas para la Educacion","Sociales","Administracion Publica"
"Tecnico en Administracion Publica","Economicas","Administracion Publica"
"Tecnico en Administracion y Gestion de Politicas Sociales","Sociales","Administracion Publica"
"Tecnico en Administracion y Gestion Publica - MD","Economicas","Administracion Publica"
"Tecnico en Control y Auditoria Gubernamental - MD","","Administracion Publica"
"Tecnico en Gestion Publica","Economicas","Administracion Publica"
"Tecnico Superíor en Administracion Portuaria","Economicas","Administracion Publica"
"Tecnico Superíor en Administracion Publica","Economicas","Administracion Publica"
"Tecnico Universitarío en Administracion Publica","Economicas","Administracion Publica"
"Tecnico Universitarío en Asuntos Municipales","Sociales","Administracion Publica"
"Tecnico Universitarío en Gestion Administrativa de Bienes y Servicios del Estado","Economicas","Administracion Publica"
"Tecnico Universitarío en Gestion y Administracion Publica","Economicas","Administracion Publica"
"Especialista en Evaluacion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Especialista en Evaluacion de Contaminacion Ambiental y su Riesgo Toxicologico","Economicas","Administracion y Gestion Ambiental"
"Especialista en Gestion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Especialista en Gestion Ambiental en Sistemas Agroalimentaríos","Naturales","Administracion y Gestion Ambiental"
"Especialista en Gestion Ambiental Metropolitana","Naturales","Administracion y Gestion Ambiental"
"Especialista en Gestion de Empresas de Agua y Saneamiento","Economicas","Administracion y Gestion Ambiental"
"Especialista en Manejo Ambiental en Patagonia Arida","Naturales","Administracion y Gestion Ambiental"
"Especialista en Medio Ambiente Visual e Iluminacion Eficiente","Naturales","Administracion y Gestion Ambiental"
"Especialista en Tecnologias e Impacto Ambiental de Materiales Plasticos","Naturales","Administracion y Gestion Ambiental"
"Ingeniero en Gestion de Siniestros y Seguridad Ambiental","Ingenieria","Administracion y Gestion Ambiental"
"Licenciado en Gerenciamiento Ambiental","Naturales","Administracion y Gestion Ambiental"
"Licenciado en Gestion Ambiental - Ciclo de Licenciatura","Naturales","Administracion y Gestion Ambiental"
"Licenciado en Gestion Ambiental - MD","Naturales","Administracion y Gestion Ambiental"
"Magister de la Universidad de Buenos Aires en Ciencias Ambientales","Naturales","Administracion y Gestion Ambiental"
"Magister de la Universidad de Buenos Aires en Gestion Ambiental Metropolitana","Naturales","Administracion y Gestion Ambiental"
"Magister de la Universidad de Buenos Aires, area Ecologia y Manejo de Sistemas Boscosos","Naturales","Administracion y Gestion Ambiental"
"Magister en Conservacion y Gestion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Magister en Control de Plagas y su Impacto Ambiental","Naturales","Administracion y Gestion Ambiental"
"Magister en Evaluacion de Impacto y Gestion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Magister en Gestion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Magister en Gestion Ambiental del Desarrollo Urbano","Naturales","Administracion y Gestion Ambiental"
"Magister en Gestion del Ambiente, el Paisaje y el Patrimonio","Naturales","Administracion y Gestion Ambiental"
"Magister en Gestion Integrada de los Recursos Hidricos","Economicas","Administracion y Gestion Ambiental"
"Magister en Gestion Integrada de Recursos Hidricos","Economicas","Administracion y Gestion Ambiental"
"Magister en Manejo Ambiental con Orientacion Alternativa en Conservacion de la Naturaleza","Naturales","Administracion y Gestion Ambiental"
"Magister en Manejo Ambiental con Orientacion Alternativa en Prevencion y Planificacion","Naturales","Administracion y Gestion Ambiental"
"Magister en Manejo Ambiental con Orientacion Alternativa en Saneamiento y Restauracion de Ecosistemas","Naturales","Administracion y Gestion Ambiental"
"Magister en Manejo y Gestion de Recursos Naturales en Patagonia","Economicas","Administracion y Gestion Ambiental"
"Tecnico en Administracion y Gestion de la Seguridad","Economicas","Administracion y Gestion Ambiental"
"Tecnico en Gestion Ambiental - MD","Naturales","Administracion y Gestion Ambiental"
"Tecnico en Gestion Ambiental Urbana","Naturales","Administracion y Gestion Ambiental"
"Tecnico Superíor en Gestion de la Calidad","Economicas","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Administracion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Evaluacion del Impacto Ambiental","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gerenciamiento Ambiental","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gestion Ambiental","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gestion Ambiental - MD","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gestion Ambiental orientacion en Gestion Portuaria","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gestion Ambiental orientacion Gestion de Residuos","Naturales","Administracion y Gestion Ambiental"
"Tecnico Universitarío en Gestion Ambiental Urbana","Naturales","Administracion y Gestion Ambiental"
"Analista en Gestion Educativa - MD","Economicas","Administracion y Gestion Cultural"
"Diplomado Universitarío en Direccion de Instituciones Educativas - Ciclo de Complementacion Curricular","Economicas","Administracion y Gestion Cultural"
"Diplomado Universitarío en Direccion de Instituciones Educativas - Ciclo de Complementacion Curricular - MD","Economicas","Administracion y Gestion Cultural"
"Especialista en Administracion Cultural","Economicas","Administracion y Gestion Cultural"
"Especialista en Administracion de Artes del Espectaculo","Economicas","Administracion y Gestion Cultural"
"Especialista en Administracion de Organizaciones en el Sector Cultural y Creativo","Economicas","Administracion y Gestion Cultural"
"Especialista en Gestion Cultural","Economicas","Administracion y Gestion Cultural"
"Especialista en Gestion Cultural y Politicas Culturales","Sociales","Administracion y Gestion Cultural"
"Especialista en Gestion de Organizaciones sin Fines de Lucro","Economicas","Administracion y Gestion Cultural"
"Especialista en Gestion y Administracion Cultural","Economicas","Administracion y Gestion Cultural"
"Especialista en Gestion y Evaluacion de Instituciones de Nivel Superíor","Economicas","Administracion y Gestion Cultural"
"Especialista en Gestion y Evaluacion de Instituciones Educativas","Educacion","Administracion y Gestion Cultural"
"Especialista en Planificacion y Gestion de la Educacion","Educacion","Administracion y Gestion Cultural"
"Especialista en Politica y Gestion Universitaria","Sociales","Administracion y Gestion Cultural"
"Especialista en Politicas Educativas","Sociales","Administracion y Gestion Cultural"
"Licenciado en Administracion y Gestion Cultural","Economicas","Administracion y Gestion Cultural"
"Licenciado en Administracion y Gestion Universitaria","Economicas","Administracion y Gestion Cultural"
"Licenciado en Gerenciamiento Economico Intercultural","Economicas","Administracion y Gestion Cultural"
"Licenciado en Gestion Cultural","Economicas","Administracion y Gestion Cultural"
"Licenciado en Gestion Cultural - Ciclo de Complementacion Curricular","Economicas","Administracion y Gestion Cultural"
"Licenciado en Gestion de Instituciones Educativas - Ciclo de Licenciatura - MD","Educacion","Administracion y Gestion Cultural"
"Licenciado en Gestion de la Educacion Superíor - Ciclo de Complementacion Curricular","Educacion","Administracion y Gestion Cultural"
